VENDOR,BILLING_MONTH,VENDOR_PARTNER_NAME,USAGE_ROWS,TOTAL_QUANTITY,TOTAL_AMOUNT,EST_DOLLAR_IMPACT,NORMALIZED_KEY
ESET,2026-03-01,NERD-1-1 IT Consultants,1,12586.0,326.820103,326.820103,nerd 1 1 it con ultant
Bitdefender,2026-05-01,Western Capital Resources,1,343.0,325.85,325.85,we tern capital re ource
Bitdefender,2026-01-01,The Connected Office,2,271.0,325.08,325.08,the connected office
Bitdefender,2026-05-01,Acclaim IT,3,259.0,323.25870000000003,323.25870000000003,acclaim it
ESET,2026-01-01,NERD-1-1 IT Consultants,1,12547.0,321.75515,321.75515,nerd 1 1 it con ultant
ESET,2026-04-01,NERD-1-1 IT Consultants,1,12180.0,321.565249,321.565249,nerd 1 1 it con ultant
Bitdefender,2026-03-01,Adfranse Automatisering B V,1,247.0,321.5124,321.5124,adfran e automati ering b v
Bitdefender,2026-02-01,Adfranse Automatisering B V,1,240.0,319.9862,319.9862,adfran e automati ering b v
Webroot,2026-05-01,NIC Inc.,2,615.0,319.8,319.8,nic inc
Proofpoint,2026-06-01,KIS Technologies Inc.,23,484.0,319.44,319.44,ki  technologie  inc
Webroot,2026-04-01,NIC Inc.,2,614.0,319.28,319.28,nic inc
Acronis,2026-04-01,MBACIO,3,11715.07,317.974236,317.974236,mbacio
Bitdefender,2026-08-01,The Connected Office,3,240.0,317.47999999999996,317.47999999999996,the connected office
Bitdefender,2026-05-01,Flmakebusiness LLC,4,203.0,317.45,317.45,flmakebu ine  llc
Bitdefender,2026-01-01,Western Capital Resources,1,334.0,317.3,317.3,we tern capital re ource
Bitdefender,2026-02-01,Western Capital Resources,1,334.0,317.3,317.3,we tern capital re ource
ESET,2026-06-01,NERD-1-1 IT Consultants,1,12180.0,317.004516,317.004516,nerd 1 1 it con ultant
Webroot,2026-01-01,NIC Inc.,2,609.0,316.68,316.68,nic inc
Acronis,2026-05-01,MBACIO,3,11588.79,316.10529199999996,316.10529199999996,mbacio
SentinelOne,2026-06-01,ROMETEK,1,439.0,316.08,316.08,rometek
Bitdefender,2026-06-01,Flmakebusiness LLC,4,201.0,314.95000000000005,314.95000000000005,flmakebu ine  llc
SentinelOne,2026-05-01,ROMETEK,1,437.0,314.64,314.64,rometek
SentinelOne,2026-07-01,ROMETEK,1,437.0,314.64,314.64,rometek
Auvik,2026-06-01,WTA Consulting,2,28.0,314.62,314.62,wta con ulting
Auvik,2026-07-01,WTA Consulting,2,28.0,314.62,314.62,wta con ulting
Bitdefender,2026-01-01,Tech Stream Solutions,3,238.0,314.4393,314.4393,tech  tream  olution
Bitdefender,2026-02-01,The Connected Office,2,261.0,313.08,313.08,the connected office
KeepIT,2026-02-01,mysmbtech,1,481.0,312.65,312.65,my mbtech
Webroot,2026-02-01,MRL Network Solutions,1,600.0,312.0,312.0,mrl network  olution
Webroot,2026-01-01,MRL Network Solutions,1,600.0,312.0,312.0,mrl network  olution
Webroot,2026-03-01,MRL Network Solutions,1,600.0,312.0,312.0,mrl network  olution
Webroot,2026-05-01,MRL Network Solutions,1,600.0,312.0,312.0,mrl network  olution
Webroot,2026-04-01,MRL Network Solutions,1,600.0,312.0,312.0,mrl network  olution
Bitdefender,2026-04-01,The Connected Office,2,259.0,310.68,310.68,the connected office
ESET,2026-03-01,VMG Strategic Consulting,1,11900.0,309.006771,309.006771,vmg  trategic con ulting
SentinelOne,2026-04-01,CYB3R,2,426.0,308.643019,308.643019,cyb3r
Bitdefender,2026-03-01,The Connected Office,2,257.0,308.28,308.28,the connected office
Proofpoint,2026-04-01,VMG Strategic Consulting,6,151.0,308.04,308.04,vmg  trategic con ulting
SentinelOne,2026-06-01,CW DEV Fortify Dev Account 5,1,425.0,306.0,306.0,cw dev fortify dev account 5
SentinelOne,2026-07-01,CW DEV Fortify Dev Account 5,1,425.0,306.0,306.0,cw dev fortify dev account 5
Bitdefender,2026-05-01,The Connected Office,2,254.0,304.68,304.68,the connected office
Auvik,2026-01-01,Continuum - EMEA,1,29.0,304.5,304.5,continuum emea
Acronis,2026-06-01,Austin Computer Guys,2,5847.38,304.065524,304.065524,au tin computer guy
ESET,2026-05-01,Heart Technologies Inc.,2,15345.0,304.012267,304.012267,heart technologie  inc
Proofpoint,2026-02-01,KIS Technologies Inc.,20,460.0,303.6,303.6,ki  technologie  inc
ESET,2026-03-01,SysTechNY,1,11300.0,303.440746,303.440746,y techny
Auvik,2026-05-01,WTA Consulting,2,27.0,303.38,303.38,wta con ulting
Acronis,2026-05-01,Austin Computer Guys,2,5766.01,302.86124800000005,302.86124800000005,au tin computer guy
Acronis,2026-07-01,National Oak Distributors,1,5556.31,302.818895,302.818895,national oak di tributor
Proofpoint,2026-07-01,Sissine's Office Systems Inc.,2,184.0,302.68,302.68,i ine   office  y tem  inc
ESET,2026-02-01,Heart Technologies Inc.,2,13860.0,302.606667,302.606667,heart technologie  inc
SentinelOne,2026-05-01,CW DEV Fortify Dev Account 5,1,420.0,302.4,302.4,cw dev fortify dev account 5
Bitdefender,2026-06-01,The Connected Office,2,252.0,302.28,302.28,the connected office
Acronis,2026-01-01,National Oak Distributors,1,5532.92,301.54414,301.54414,national oak di tributor
Acronis,2026-06-01,National Oak Distributors,1,5506.22,300.08899,300.08899,national oak di tributor
KeepIT,2026-01-01,NXT IT Solutions,1,400.0,300.0,300.0,nxt it  olution
Acronis,2026-03-01,National Oak Distributors,1,5500.57,299.781065,299.781065,national oak di tributor
ESET,2026-04-01,Heart Technologies Inc.,2,14850.0,299.562905,299.562905,heart technologie  inc
Acronis,2026-05-01,National Oak Distributors,1,5492.48,299.34016,299.34016,national oak di tributor
SentinelOne,2026-04-01,ROMETEK,1,419.0,299.205779,299.205779,rometek
Acronis,2026-04-01,National Oak Distributors,1,5488.96,299.14832,299.14832,national oak di tributor
Acronis,2026-02-01,National Oak Distributors,1,5474.63,298.367335,298.367335,national oak di tributor
Proofpoint,2026-03-01,KIS Technologies Inc.,21,452.0,298.32000000000005,298.32000000000005,ki  technologie  inc
Proofpoint,2026-05-01,KIS Technologies Inc.,21,452.0,298.32,298.32,ki  technologie  inc
ESET,2026-01-01,Heart Technologies Inc.,2,15345.0,297.72477000000003,297.72477000000003,heart technologie  inc
KeepIT,2026-01-01,mysmbtech,1,458.0,297.7,297.7,my mbtech
ESET,2026-03-01,Heart Technologies Inc.,2,15345.0,297.502,297.502,heart technologie  inc
Proofpoint,2026-04-01,KIS Technologies Inc.,21,450.0,297.0,297.0,ki  technologie  inc
Bitdefender,2026-06-01,Acclaim IT,3,244.0,296.6776,296.6776,acclaim it
SentinelOne,2026-04-01,CW DEV Fortify Dev Account 5,1,415.0,296.349399,296.349399,cw dev fortify dev account 5
Bitdefender,2026-08-01,Flmakebusiness LLC,4,188.0,294.0,294.0,flmakebu ine  llc
Acronis,2026-03-01,The Ulven Companies,2,19681.43,293.753564,293.753564,the ulven companie
Acronis,2026-04-01,The Ulven Companies,2,19681.43,293.753564,293.753564,the ulven companie
Acronis,2026-01-01,The Ulven Companies,2,19681.43,293.753564,293.753564,the ulven companie
Acronis,2026-02-01,The Ulven Companies,2,19681.43,293.753564,293.753564,the ulven companie
Bitdefender,2026-01-01,Adfranse Automatisering B V,1,219.0,293.2891,293.2891,adfran e automati ering b v
Acronis,2026-03-01,"Consolidated Technology Management, Inc.",2,7209.77,293.059237,293.059237,con olidated technology management inc
Acronis,2026-02-01,"Consolidated Technology Management, Inc.",2,7209.77,293.059237,293.059237,con olidated technology management inc
Acronis,2026-01-01,"Consolidated Technology Management, Inc.",2,7209.77,293.059237,293.059237,con olidated technology management inc
Acronis,2026-07-01,The Ulven Companies,2,19599.3,292.53804,292.53804,the ulven companie
Acronis,2026-05-01,The Ulven Companies,2,19599.3,292.53804,292.53804,the ulven companie
Acronis,2026-06-01,The Ulven Companies,2,19599.3,292.53804,292.53804,the ulven companie
Auvik,2026-07-01,Intalect Ltd,2,26.0,292.14,292.14,intalect ltd
Webroot,2026-04-01,Providence Technology Group,1,560.0,291.2,291.2,providence technology group
Proofpoint,2026-04-01,Global Data Systems Inc,1,142.0,291.1,291.1,global data  y tem  inc
Bitdefender,2026-07-01,Flmakebusiness LLC,4,186.0,290.79999999999995,290.79999999999995,flmakebu ine  llc
Bitdefender,2026-01-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-03-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-06-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-05-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-04-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-02-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-08-01,Axiom,1,247.0,290.29,290.29,axiom
Bitdefender,2026-07-01,Axiom,1,247.0,290.29,290.29,axiom
SentinelOne,2026-05-01,CYB3R,1,403.0,290.16,290.16,cyb3r
Bitdefender,2026-03-01,Davis Advanced Technology,1,259.0,290.08,290.08,davi  advanced technology
Acronis,2026-01-01,PC Solutions,3,5280.81,290.07054500000004,290.07054500000004,pc  olution
