VENDOR,VENDOR_PARTNER_NAME,ROW_COUNT,SF_ID_MISSING_ROWS,DISTINCT_SF_IDS,ABS_AMT_DELTA
Proofpoint,"America One Technologies, Inc. | Baetech Inc | Central Office Systems Corp | Hodge Systems & Consulting Service | Loyality Inc. | NJ Tech Solutions | Northwest Reliable, LLC | PC 911 LLC | PVK Technology Solutions LLC",1,1,0,4696.55
SentinelOne,CAISOFTWARE-COVID731ACCESS | CANYONPOINT | CONTINUUM-TEST | CW Automate | CW DEV Account 1 | CW DEV Account 3 | CW DEV CONTINUUM-SOC | CW DEV CW01Dnd1 | CW DEV CW01Dnd2 | CW DEV CW01Dnd3 | CW DEV CW03Dnd3 | CW DEV EMEA-FORTIFYDEV-1 | CW DEV EMEA_CW02-FORTIFYDEV-2 | CW DEV Fortify Dev Account 1 | CW DEV Fortify Dev Account 2 | CW DEV Fortify Dev Account 3 | CW DEV Fortify Dev Account 4 | CW DEV Fortify Dev Account 5 | CW DEV Fortify Dev Account 6 | CW DEV Fortify Dev Account 7 | CYPHERCONNECTMSP | MP-AmarTest1 | NETGATETECH | PMT-Test | ZLAN,1,1,0,3641.7599999999998
SentinelOne,CANYONPOINT | CONTINUUM-TEST | CW Automate | CW DEV Account 1 | CW DEV Account 3 | CW DEV CONTINUUM-SOC | CW DEV CW01Dnd1 | CW DEV CW01Dnd2 | CW DEV CW01Dnd3 | CW DEV CW03Dnd3 | CW DEV EMEA-FORTIFYDEV-1 | CW DEV EMEA_CW02-FORTIFYDEV-2 | CW DEV Fortify Dev Account 1 | CW DEV Fortify Dev Account 2 | CW DEV Fortify Dev Account 3 | CW DEV Fortify Dev Account 4 | CW DEV Fortify Dev Account 5 | CW DEV Fortify Dev Account 6 | CW DEV Fortify Dev Account 7 | PMT-Test | ZLAN,1,1,0,1774.08
Proofpoint,Canaan Technology - Client Accounts | Elite Technical Services LLC | ONCi Networks Inc. dba ICMicro | PC 911 LLC | eSOZO,1,1,0,1271.71
KeepIT,"Function 4 LLC | Function4, LLC",1,0,1,1264.4
Proofpoint,BEAU TECH | Sissine's Office Systems Inc. | Torindrive,1,1,0,767.2
Proofpoint,Cobb Technologies | Hodge Systems & Consulting Service | Maverick Gardner ITS Inc. | NJ Tech Solutions | ONCi Networks Inc. dba ICMicro | PVK Technology Solutions LLC | Sissine's Office Systems Inc. | Torindrive,1,1,0,676.5
Acronis,Keystone | Keystone Pacific Property Management,1,0,1,526.2000000000003
SentinelOne,CONTINUUM-TEST | CW Automate | CW DEV Account 1 | CW DEV Account 3 | CW DEV CONTINUUM-SOC | CW DEV CW01Dnd1 | CW DEV CW01Dnd2 | CW DEV CW01Dnd3 | CW DEV CW03Dnd3 | CW DEV EMEA-FORTIFYDEV-1 | CW DEV EMEA_CW02-FORTIFYDEV-2 | CW DEV Fortify Dev Account 1 | CW DEV Fortify Dev Account 2 | CW DEV Fortify Dev Account 3 | CW DEV Fortify Dev Account 4 | CW DEV Fortify Dev Account 5 | CW DEV Fortify Dev Account 6 | CW DEV Fortify Dev Account 7 | MP-AmarTest1 | PMT-Test | RUSHAB | ZLAN,1,1,0,396.0
Proofpoint,Cobb Technologies | Tech Success,1,1,0,189.28
Acronis,"VIcom Virginia Integrated Communications | iDiscovery Solutions, Inc",1,0,1,150.7
Acronis,N1Discovery LLC | Netsource One Inc | Netsource One Inc /1,1,0,1,79.6
Acronis,Itro (do not use) | itro,1,0,1,4.0
Proofpoint,CMIT Solutions of Austin Central | CMIT Solutions of Cedar Rapids,1,0,1,0.09999999999999987
SentinelOne,BCDR NOC | CANYONPOINT | CORPWEST | ELEVAIT | LUMANOCLLC | ONENET | PARROINFODEVELOPPEMENT | Team-40-ai-test,1,1,0,0.0
SentinelOne,JD_EliteSupport | RUSHAB | Team-40-ai-test,1,1,0,0.0
SentinelOne,GOXTECHNOLOGIESINC | JD_EliteSupport | Sahil | Team-40-ai-test,1,1,0,0.0
SentinelOne,BCDR NOC | PARROINFODEVELOPPEMENT | RD_EliteSupport | Team-40-ai-test,1,1,0,0.0
SentinelOne,BCDR NOC | JD_EliteSupport | Mahesh-Test | PARROINFODEVELOPPEMENT | RUSHAB | Sahil | Team-40-ai-test,1,1,0,0.0
SentinelOne,JD_EliteSupport | Sahil | Team-40-ai-test | Tisdale_Demo,1,1,0,0.0
SentinelOne,RD_EliteSupport | Team-40-ai-test,1,1,0,0.0
SentinelOne,ICQ COMPUTERS | PARROINFODEVELOPPEMENT | RUSHAB,1,1,0,0.0
