VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,ADECS-Maple,,ACT-00219799,17089,
Acronis,Eugenius,,ACT-00084733,28975,
Acronis,Ashbury,,ACT-00288321,26077,
Acronis,m3 Networks,,ACT-00192321,23310,
Acronis,Focus Technology Solutions Ltd,,ACT-00137254,23111,
Acronis,Amangiri Resort & Villas,,ACT-00249577,32156,
Acronis,Avalon Hills,,ACT-00225517,32563,
Acronis,Shamsa Global LLC,,ACT-00269711,27308,
Acronis,"IT by Design, Inc.",,ACT-00134257,,
Acronis,Virtual World Technologies,,ACT-00147828,28593,
Acronis,Therma-Glass,,ACT-00317369,27944,
Acronis,Proactive Data,,ACT-00008941,26591,
Acronis,Tech Horse Electronics,,ACT-00225398,,Technitrick
Acronis,QIT Solutions,,ACT-00265920,27442,
Acronis,GEM Technologies Inc,,ACT-00148300,14529,
Acronis,"AxTech - 887,528",,ACT-00136702,31360,
Acronis,V2 Technology,,ACT-00065554,25168,
Acronis,ThreatAdvice,,ACT-00118650,32122,
Acronis,Secure Cyber Defense,,ACT-00019494,,
Acronis,Rx Technology,,ACT-00246798,,
Acronis,Seiu-Uhw,,ACT-00068325,31428,
Acronis,NXT IT Solutions,,ACT-00071766,300000155,
Acronis,"Louisiana Radio Communications, Inc",,ACT-00191378,21504,
Acronis,VIcom Virginia Integrated Communications,,ACT-00245864,,
Acronis,Red Mosquito Ltd,,ACT-00170291,25309,
Acronis,Omni Computer Service,,ACT-00441754,,OmniTech
Acronis,Lietz Development,,ACT-00153600,26965,
Acronis,Network Connections Inc (NCI),,ACT-00266244,24480,
Acronis,Mittenpunkt Corporation (#1796967),,ACT-00094855,28520,
Acronis,Kismet Solutions Inc.,,ACT-00226220,,
Acronis,ABtec Computer Solutions Ltd,,ACT-00187333,22843,
Acronis,Cyber Advisors Inc.,,ACT-00224068,24522,
Acronis,MYComputing Inc.,,ACT-00259296,30547,
Acronis,Decision Logic,,ACT-00175613,9481,
Acronis,Simplified Business Solutions,,ACT-00165023,23587,
Acronis,Bitswift Technology Solutions,,ACT-00182763,25897,
Acronis,"Backroom IT, LLC",,ACT-00124060,,
Acronis,AMS Retail Solutions,,ACT-00157004,20813,
Acronis,B4B Telecoms,,ACT-00069455,20764,
Acronis,Avalon Hills,,ACT-00225517,,
Acronis,Sanchez Management Corp,,ACT-00270835,31201,
Acronis,Network Enginuity,,ACT-00133064,30065,
Acronis,"Autokiniton US Holdings, Inc.",,ACT-00361839,29538,
Acronis,Platform 24,,ACT-00030476,22627,
Acronis,Capital Business Machines,,ACT-00110859,26053,
Acronis,"Rapid Domains, Inc.",,ACT-00196486,24768,
Acronis,1 ZERO 1 Comp Sols Ltd,,ACT-00192709,13293,
Acronis,Law Office of David M. Sperling,,ACT-00069498,-,
Acronis,Oscar Wilson Engine & Parts,,ACT-00318009,,
Acronis,NetAdmins Inc.,,ACT-00138056,24135,
Acronis,POS Partners Inc,,ACT-00181522,,
Acronis,Computer FX,,ACT-00160507,-,
Acronis,ICSI,,ACT-00296553,500000262,
Acronis,"Magna5 MS, LLC",,ACT-00118650,32122,
Acronis,"Southeastern Security Professionals, LLC",,ACT-00056472,28618,
Acronis,CHS Networks,,ACT-00084560,24987,
Acronis,"NXC Holdings, LLC",,ACT-00286715,25232,
Acronis,Tech Savvy Team LLC,,ACT-00077573,27798,
Acronis,Your Way IT Solutions,,ACT-00222035,,Your IT Department
Acronis,Fusion Factor Corporation,,ACT-00145015,5169,
Acronis,BulletProof Systems,,ACT-00150133,24058,
Acronis,Lenex IT,,ACT-00241635,500000586,
Acronis,Otero Consulting Group,,ACT-00358119,30355,
Acronis,ScotiaComp Technologies,,ACT-00065309,29456,
Acronis,United Datacom Networks Inc,,ACT-00165050,19283,
Acronis,BB2 Technology Group,,ACT-00253088,23134,
Acronis,Client Solutions & Systems,,ACT-00125001,,
Acronis,Medical Technology Solutions LLC,,ACT-00150785,25411,
Acronis,Webetek,,ACT-00034035,17279,
Acronis,Southwest Office Systems Inc,,ACT-00024717,10992,
