BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-05-01,Acronis,Adfranse Automatisering B V,SPIAMSENS,EU8_Master,4.0,0.6319,2.5276,USD
2026-05-01,Acronis,Adfranse Automatisering B V,SRHAMSENS,EU8_Master,1.0,0.7313,0.7313,USD
2026-05-01,Acronis,Adfranse Automatisering B V,SRIAMSENS,EU8_Master,1.0,0.1725,0.1725,USD
2026-05-01,Acronis,Adfranse Automatisering B V,SRJAMSENS,EU8_Master,9.0,1.1502,10.351799999999999,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SPDAMSENS,US_Master,142189.36000000002,0.0148,2104.402528,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SPEAMSENS,US_Master,70.0,10.3731,726.1170000000001,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SPFAMSENS,US_Master,157.0,3.6565,574.0704999999999,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SPGAMSENS,US_Master,17.0,1.704,28.968,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SPIAMSENS,US_Master,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SRHAMSENS,US_Master,1.0,0.7313,0.7313,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SRIAMSENS,US_Master,1.0,0.1725,0.1725,USD
2026-05-01,Acronis,"Adtech Computers, Inc.",SVEAMSENS,US_Master,237.56,0.0272,6.461632,USD
2026-05-01,Acronis,Advanced Systems,SPDAMSENS,CAN_DEV,80881.05,0.0148,1197.03954,USD
2026-05-01,Acronis,Advanced Systems,SPEAMSENS,CAN_DEV,6.0,10.3731,62.238600000000005,USD
2026-05-01,Acronis,Advanced Systems,SPFAMSENS,CAN_DEV,117.0,3.6565,427.8105,USD
2026-05-01,Acronis,Advanced Systems,SPGAMSENS,CAN_DEV,63.0,1.704,107.352,USD
2026-05-01,Acronis,Advantech IT Solutions,SPDAMSENS,US_Master,11189.31,0.0148,165.601788,USD
2026-05-01,Acronis,Advantech IT Solutions,SPEAMSENS,US_Master,3.0,10.3731,31.119300000000003,USD
2026-05-01,Acronis,Advantech IT Solutions,SPFAMSENS,US_Master,10.0,3.6565,36.565,USD
2026-05-01,Acronis,Advantech IT Solutions,SPGAMSENS,US_Master,2.0,1.704,3.408,USD
2026-05-01,Acronis,Advantech IT Solutions,SRIAMSENS,US_Master,5.0,0.1725,0.8624999999999999,USD
2026-05-01,Acronis,Advantech IT Solutions,SRJAMSENS,US_Master,5.0,1.1502,5.7509999999999994,USD
2026-05-01,Acronis,Agilico,SO4AMSENS,UK_DEV,812.0,1.3348,1083.8576,USD
2026-05-01,Acronis,Agilico,SPBAMSENS,UK_DEV,13676.09,0.0545,745.346905,USD
2026-05-01,Acronis,Agilico,SPDAMSENS,UK_DEV,108499.92,0.0148,1605.798816,USD
2026-05-01,Acronis,Agilico,SPDCMSENS,UK_DEV,1009.0,,0.0,USD
2026-05-01,Acronis,Agilico,SPEAMSENS,UK_DEV,5.0,10.3731,51.865500000000004,USD
2026-05-01,Acronis,Agilico,SPFAMSENS,UK_DEV,133.0,3.6565,486.3145,USD
2026-05-01,Acronis,Agilico,SPGAMSENS,UK_DEV,5.0,1.704,8.52,USD
2026-05-01,Acronis,Agilico,SPIAMSENS,UK_DEV,23.0,0.6319,14.5337,USD
2026-05-01,Acronis,Agilico,SRHAMSENS,UK_DEV,5.0,0.7313,3.6565,USD
2026-05-01,Acronis,Agilico,SRIAMSENS,UK_DEV,462.0,0.1725,79.695,USD
2026-05-01,Acronis,Agilico,SRJAMSENS,UK_DEV,812.0,1.1502,933.9623999999999,USD
2026-05-01,Acronis,Agilico,SRMAMSENS,UK_DEV,104.0,0.6674,69.4096,USD
2026-05-01,Acronis,Agilico,SRXAMSENS,UK_DEV,30.0,0.2574,7.722,USD
2026-05-01,Acronis,Akita Systems,SPBAMSENS,UK_DEV,434.63,0.0545,23.687335,USD
2026-05-01,Acronis,Akita Systems,SPDAMSENS,UK_DEV,314.31,0.0148,4.651788,USD
2026-05-01,Acronis,Akita Systems,SPDCMSENS,UK_DEV,3031.0,,0.0,USD
2026-05-01,Acronis,Akita Systems,SPIAMSENS,UK_DEV,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,Akita Systems,SQ8AMSENS,UK_DEV,11.0,1.1502,12.652199999999999,USD
2026-05-01,Acronis,Akita Systems,SRJAMSENS,UK_DEV,4344.0,1.1502,4996.4688,USD
2026-05-01,Acronis,Aldebaran Group,SEDAMSENS,US_Master,1.0,1.3774,1.3774,USD
