VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,BCIT Solutions,,ACT-00267798,24248,
Acronis,CoreTrek AS,,ACT-00217354,500000673,
Acronis,Cyberlink ASP Technology LLC (Avitus Tech),,ACT-00051086,23059,
Acronis,Today's Business Computers Inc,,ACT-00045351,32815,
Acronis,Aufsite,,ACT-00295874,27089,
Acronis,iwerk,,ACT-00052393,25498,
Acronis,Nutmeg Technologies,,ACT-00042280,25088,
Acronis,N1Discovery LLC,,ACT-00037128,27795,
Acronis,IT Kauai Inc,,ACT-00033691,26895,
Acronis,Harwood International Corp.,,ACT-00067264,21194,
Acronis,Network Design Systems,,ACT-00132533,-,
Acronis,Jilasoan,,ACT-00035439,27594,
Acronis,Rx Technology,,ACT-00246798,,
Acronis,Arthur Allen Technology,,ACT-00252151,28469,
Acronis,RAD Group,,ACT-00048901,500000723,
Acronis,VIcom Virginia Integrated Communications,,ACT-00187986,-,
Acronis,SR Technologies,,ACT-00268951,29810,
Acronis,"Envision Technology Advisors, LLC",,ACT-00016529,,
Acronis,"WDCS, Inc.",,ACT-00188908,,
Acronis,CMIT South Brevard 179,,ACT-00245679,,
Acronis,Myriad Technologies Services Pty Ltd,,ACT-00093598,22996,
Acronis,Techton Consulting LLC,,ACT-00264694,23953,
Acronis,"International Micro Systems, Inc.",,ACT-00037816,-,
Acronis,CyberPrairie,,ACT-00153622,453,
Acronis,Carmichael Consulting Solutions,,ACT-00069316,27582,
Acronis,Micro Computer Consulting Inc.,,ACT-00239637,,
Acronis,Advanced Hospitality Technologies,,ACT-00195588,,Advanced Systems
Acronis,LP Techs LLC,,ACT-00317711,27992,
Acronis,Dialysis Care Center,,ACT-00149113,27680,
Acronis,BrainWave Computers,,ACT-00270754,-,
Acronis,PA Computer Connections,,ACT-00060766,5112,
Acronis,ArgoNet,,ACT-00170095,,
Acronis,CSI,,ACT-00141389,3242,
Acronis,Carter Computer Consulting,,ACT-00099032,,
Acronis,ThreatAdvice,,ACT-00118650,32122,
Acronis,Digital Office Systems Inc,,ACT-00189721,11631,
Acronis,Network & Security,,ACT-00083687,24571,
Acronis,Oryx Align,,ACT-00188468,500001120,
Acronis,Community Alternatives,,ACT-00013043,28494,
Acronis,PDC Wellness,Minerva Computers,ACT-00267799,,
Acronis,"Pruitt Communications, Inc.",,ACT-00205450,28138,
Acronis,Network Connections Inc (NCI),,ACT-00266244,24480,
Acronis,Commercial Networks LTD,,ACT-00107189,22719,
Acronis,GEM Technologies Inc,,ACT-00148300,14529,
Acronis,Elevity IT,,ACT-00238028,10330,
Acronis,Eugenius,,ACT-00084733,28975,
Acronis,TCT Federal Credit Union,,ACT-00263207,-,
Acronis,"Strong Connexions, Inc.",,ACT-00245565,,
Acronis,"Midwest Computing Group, Inc.",,ACT-00066411,26098,
Acronis,Netbox Managed IT Services,,ACT-00079016,500000659,
Acronis,Intricate Networks,,ACT-00249585,26133,
Acronis,Flex IT Solutions,,ACT-00202184,20742,
Acronis,Kismet Solutions Inc.,,ACT-00226220,27537,
Acronis,Sterling Technology Solutions,,ACT-00131379,30165,
Acronis,PC Solution Direct,,ACT-00286358,27670,
Acronis,The Connected Office,,ACT-00253166,23773,
Acronis,EssentialNet Solutions,,ACT-00185222,21448,
Acronis,Itro (do not use),,ACT-00197497,,itro
Acronis,Knowing Technologies,,ACT-00057589,30807,
Acronis,COMHOME Network Solutions,,ACT-00023310,20886,
Acronis,CMIT South Brevard 179,,ACT-00245679,592,
Acronis,Tech4Biz,,ACT-00070572,24316,
Acronis,Genone Technology Services Inc,TD Synnex Corp,ACT-00245995,-,
Acronis,Metrix,,ACT-00265102,,
Acronis,Temple & Associates,,ACT-00118650,32122,
Acronis,Tailored Technology Services,,ACT-00179208,26513,
Acronis,NetAdmins Inc.,,ACT-00138056,24135,
Acronis,ADECS-Maple,,ACT-00219799,17089,
Acronis,Uniag Cooperative,,ACT-00275259,29743,
Acronis,Therma-Glass,,ACT-00317369,27944,
Acronis,Five Star Technology Solutions,,ACT-00069079,21364,
Acronis,"Superior Steel, Inc",,ACT-00288311,27664,
Acronis,MicroSPED (#5607),,ACT-00148634,28327,
Acronis,Prevos Solutions,,ACT-00185511,25316,
Acronis,"Backroom IT, LLC",,ACT-00124060,,
Acronis,Genone Technology Services Inc,TD Synnex Corp,ACT-00245995,,
Acronis,"Bourgtech, LLC",,ACT-00244896,,"Bourgtech, LLC"
Acronis,Resonant Technology Partners LLC,,ACT-00171734,23381,
Acronis,Netsource One Inc /1,,ACT-00037128,27795,
Acronis,Concerto Networks,,ACT-00274986,24350,
Acronis,Vermeer Heartland,"Harmonity Technologies, LLC",ACT-00239679,-,
Acronis,Glory Global Solutions NZ,,ACT-00081481,-,
Acronis,Fusion Factor Corporation,,ACT-00145015,,
Acronis,Electronic Business Systems UK,,ACT-00157376,500000663,
Acronis,Akita Systems,,ACT-00210467,500000661,
Acronis,CWL Systems Ltd,,ACT-00184685,15052,
Acronis,PDC Wellness,Minerva Computers,ACT-00267799,-,
Acronis,Xcellerate,,ACT-00227008,25826,
Acronis,Aktiebolaget XREF Stockholm,Innosoft / ELOVADE Sverige AB,ACT-00004104,,
Acronis,Infinite Systems Inc,,ACT-00077188,29783,
Acronis,Unique Appliances,,ACT-00252258,27501,
Acronis,Dexcore LLC,,ACT-00275427,29568,
Acronis,Harness Group,,ACT-00010677,26881,
Acronis,Seiu-Uhw,,ACT-00068325,31428,
Acronis,Intelus Technology Group,,ACT-00153508,30229,
Acronis,Kezber,,ACT-00056015,22647,
Acronis,Amangiri Resort & Villas,,ACT-00249577,32156,
Acronis,Vision Lab,,ACT-00080715,300000306,
Acronis,Titanium,,ACT-00185004,29258,
Acronis,Bigfoot Technology Group,,ACT-00259318,27829,
Acronis,ByteWyze Computer Services,,ACT-00197873,,
Acronis,Client Solutions & Systems,,ACT-00125001,,
Acronis,Premier Technology LLC,,ACT-00066446,,
Acronis,Community Technology Consultants LLC,,ACT-00187177,28933,
Acronis,SouthBridge Consulting,,ACT-00062722,29140,
Acronis,Karhu Cyber,,ACT-00289107,26423,
Acronis,Technology Services LLC - b4b158ba-e742-4ba1-9b41-fa35798c71d6,,ACT-00076476,33091,
Acronis,On-Site Computers Inc.,,ACT-00025822,26821,
Acronis,MooIT,,ACT-00137430,27704,
Acronis,Moon Computers Ltd,,ACT-00227718,25889,
Acronis,Coviah,,ACT-00289041,28111,
Acronis,Your Way IT Solutions,,ACT-00222035,,Your IT Department
Acronis,WTA Consulting,,ACT-00243438,23373,
Acronis,Reclamere,,ACT-00119594,20582,
Acronis,Frontline Security Solutions,,ACT-00055707,26506,
Acronis,RMHT Solutions LLC,,ACT-00222306,29801,
Acronis,Clementech,,ACT-00296777,27524,
Acronis,ACT Enviro,,ACT-00068995,-,
Acronis,The Learning Exchange,"Harmonity Technologies, LLC",ACT-00239688,-,
Acronis,"Tvc, Inc",,ACT-00130183,24822,
Acronis,Skynet Broadband Pty Ltd,,ACT-00124965,27058,
Acronis,Law Office of David M. Sperling,,ACT-00069498,,
Acronis,Nex-Tech LLC,,ACT-00237849,16272,
Acronis,Virtual Office Solutions,,ACT-00204392,23072,
Acronis,Structured Communication Systems,,ACT-00136094,19616,
Acronis,Tech Savvy Team LLC,,ACT-00077573,27798,
Acronis,Comstar Technologies,,ACT-00038049,25433,
Acronis,"FSi Strategies, Inc.",,ACT-00200968,26322,
Acronis,Cyber Total Solutions,,ACT-00459313,,CyberNET LLC
Acronis,Community Action Partnership Huntsville / Madison,,ACT-00142478,-,
Acronis,Libra ICT,,ACT-00237872,21507,
Acronis,Eugenius,,ACT-00084733,-,
Acronis,Uniag Cooperative,,ACT-00275259,,
Acronis,Lemonov LLC,,ACT-00104319,25165,
Acronis,Acuity Network Services,,ACT-00109488,,
Acronis,Copiers Plus,,ACT-00128668,15339,
Acronis,Bulletproof InfoTech Inc.,,ACT-00239634,21368,
Acronis,ZenOps,,ACT-00119933,,
Acronis,"SOHO Integration, LLC",,ACT-00166406,26191,
Acronis,m3 Networks,,ACT-00192321,23310,
Acronis,Metrix,,ACT-00265102,22836,
Acronis,Lietz Development,,ACT-00153600,26965,
Acronis,The Ulven Companies,,ACT-00099271,-,
Acronis,Educational Records Bureau,,ACT-00263860,-,
Acronis,Local IT,,ACT-00265131,30961,
Acronis,Reliable Technology Solutions,,ACT-00078453,26577,
Acronis,Technology Plus,,ACT-00050775,23891,
Acronis,Omni Technologies Alliance,,ACT-00161783,-,
Acronis,"Harris Technology Services, LLC",,ACT-00265744,23878,
Acronis,Echo IT,,ACT-00154839,22911,
Acronis,Omni Technologies Alliance,,ACT-00161783,,
Acronis,MCS Computer Support,,ACT-00269471,25941,
Acronis,"Xpertechs, LLC",,ACT-00158933,3214,
Acronis,"Regent ISO, LLC",,ACT-00114657,26063,
Acronis,"HRI Properties, LLC",,ACT-00121826,,
Acronis,SHARKTOOTH NETWORKS INC,Ingram Micro,ACT-00153605,,
Acronis,Professional Computer Support,,ACT-00214616,20355,
Acronis,Alpha Wireless Communications,,ACT-00246173,,AlphaKOR Group Inc
Acronis,"Dexcore, LLC",,ACT-00275427,29568,
Acronis,itro,,ACT-00197497,16857,
Acronis,OPEN CLOUD MEDIA LTD,,ACT-00444743,500000838,
