VENDOR,CW_SKUS,DETAIL_ROWS,VENDOR_AMT
Acronis,"APP-BC-SPXAMSENS,M2M-APP-BC-SPXAMSENS,MP-SPXAMSENS,SPXAMSENS",28,21726.0
Acronis,"APP-BC-SUVAMSENS,M2M-APP-BC-SUVAMSENS,SUVAMSENS,TASUVAMSEN",25,9.0
Acronis,"APP-BC-SP1AMSENS,APP-SA-SP1AMSENS,LEGACYSKUTASP1AMSEN,M2M-APP-BC-SP1AMSENS,SP1AMSENS,SP1AMSENS BY GB",24,70.0
Acronis,"ACB-CAD-M00-TASP3AMSEN,APP-BC-SP3AMSENS,SP3AMSENS,SP3AMSENS PER GB,SP3AMSENS PER TB,TASP3AMSEN",23,11655.0
Acronis,"APP-SA-SBATFNLOS,SBATFNLOS",18,2272.0
Acronis,"APP-SA-SQBPMSENS,SQBPMSENS",17,0.0
Acronis,"APP-SA-SQACMSENS,SQACMSENS",14,994.0
Acronis,"APP-SA-SO6AMSENS,SO6AMSENS",8,310.0
Acronis,"APP-SA-SRXAMSENS,SRXAMSENS",7,60.0
Acronis,"APP-BC-SR3AMSENS,M2M-APP-BC-SR3AMSENS,SR3AMSENS",7,14.0
Acronis,"APP-BC-SPBBMSENS,M2M-APP-BC-SPBBMSENS,SELFPROVIDEDSTORAGE,SPBBMSENS",7,134.0
Acronis,"APP-SA-SRJGMSENS,M2M-APP-SA-SRJGMSENS,SRJGMSENS",6,15.0
Acronis,"APP-SPZBMSENS,SPZBMSENS",4,4.0
