VENDOR,ROW_COUNT,CLEAR_RATE_PCT,VENDOR_SEATS,BILLING_SEATS,SEAT_PARITY_PCT,API_COVERAGE_PCT,AVG_API_COVERAGE_PCT
Acronis,21489,79.7,95530187.0,105929589.0,90.18,29.14,39.36
Auvik,3682,55.02,656187.0,726649.8999999999,90.3,23.41,23.41
Bitdefender,4042,65.93,2469057.0,3169977.0,77.89,52.82,52.97
ESET,2532,78.24,822244.0,854095.0,96.27,0.0,0.0
Exium,697,70.59,40383.0,40328.0,99.86,59.54,79.63
KeepIT,8336,50.0,5404762.0,5171599.0,95.69,0.0,0.0
Proofpoint,5945,95.95,2787584.0,2856795.0,97.58,70.7,88.44
SentinelOne,22118,78.12,12770062.0,13025546.0,98.04,73.96,74.17
Webroot,14702,52.22,4308772.0,4866462.0,88.54,0.0,0.0
